zeff,fsigma8,err,survey,year
0.02,0.428,0.048,6dFGS + pec. vel.,2017
0.067,0.423,0.055,6dFGRS,2012
0.15,0.49,0.15,SDSS MGS,2015
0.3,0.49,0.09,SDSS DR7 LRG,2014
0.18,0.36,0.09,GAMA,2013
0.38,0.44,0.06,GAMA,2013
0.38,0.497,0.046,BOSS DR12,2017
0.51,0.458,0.038,BOSS DR12,2017
0.61,0.436,0.035,BOSS DR12,2017
0.44,0.413,0.08,WiggleZ,2012
0.6,0.39,0.063,WiggleZ,2012
0.73,0.437,0.072,WiggleZ,2012
0.6,0.55,0.12,VIPERS,2017
0.86,0.4,0.11,VIPERS,2017
1.4,0.482,0.116,FastSound,2016
1.52,0.426,0.077,DR14 quasars,2018
